location,date,site.type,hosts,hosts.big,host.length,host.length.big,infested,infest.big,prevalence,prev.big,(Intercept).x,(Intercept).y
Baynes Sound,2016-07-20,Shellfish farm,36,6,7.55,15.8,2,2,0.06,0.33,0.06771566060208303,0.35229854664270427
Baynes Sound,2016-07-21,No aquaculture,1,NA,6,NA,0,NA,0,NA,0.1191030644257167,NA
Baynes Sound,2016-07-22,No aquaculture,56,22,7.77,11.63,1,1,0.02,0.05,0.03268321719520656,0.08369993652558115
Baynes Sound,2018-07-17,Shellfish farm,7,5,12.7,15.22,4,4,0.57,0.8,0.455055477142893,0.7028657569454942
Baynes Sound,2016-07-18,No aquaculture,5,2,7.74,11.85,2,2,0.4,1,0.3036950380643907,0.7299577135486324
Baynes Sound,2016-07-19,Shellfish farm,10,8,9.75,11.32,3,3,0.3,0.38,0.2623189578929472,0.382579675139733
Calvert Island,2018-07-29,No aquaculture,25,22,14.68,15.55,11,11,0.44,0.5,0.3218926005691413,0.35627948997400155
Calvert Island,2018-08-02,No aquaculture,95,81,13.88,14.67,19,19,0.2,0.23,0.20341302311528003,0.23860260108622353
Calvert Island,2018-08-14,No aquaculture,47,45,17.7,18.11,10,10,0.21,0.22,0.20045330615924292,0.2209011148838206
Calvert Island,2019-01-19,No aquaculture,63,48,14.4,16.59,8,8,0.13,0.17,0.15798600014305203,0.2013051732329329
