coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
78b15c16-de64-44e2-a467-20b7f0870082,,,preservedspecimen,,upogebia pugettensis,9888,malacostraca,invertebrate specimens,,,collector(s): b. l. wing,,,north america,,united states,usa,,1962-07-20T00:00:00+00:00,2017-08-09T14:34:25.371218+00:00,0.2753623188405797,,,,,,402341c4d36e8a1cbf231c504aa56057b01f3ec7,1962-07-20,upogebiidae,,"[""geopoint_datum_error"", ""geopoint_low_precision"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_originalnameusageid_added"", ""gbif_canonicalname_added""]",,upogebia,,"{""lat"": 55.42, ""lon"": -132.39}",,false,false,animalia; arthropoda; malacostraca; decapoda; upogebiidae;,,1.0,,uam,urn:lsid:biocol.org:col:34847,,animalia,,,,,,,prince of wales is.,,,,,,,,,http://arctos.database.museum/guid/uam:inv:9888?seid=2363514,decapoda,arthropoda,"[""3617a6a3-d384-48de-948d-2d1e1c54e090\\http://arctos.database.museum/guid/uam:inv:9888?seid=2363514"", ""3617a6a3-d384-48de-948d-2d1e1c54e090\\urn:occurrence:arctos:uam:inv:9888:2363514""]",,3617a6a3-d384-48de-948d-2d1e1c54e090,upogebia pugettensis,pugettensis,201,alaska,2223004,accepted,species,,78b15c16-de64-44e2-a467-20b7f0870082,19620720,prince of wales is.,,
d7103559-10de-4004-810b-185c76b5793b,,,preservedspecimen,,upogebia pugettensis,9933,malacostraca,invertebrate specimens,,,collector(s): joel hubbard,,,north america,,united states,usa,,1965-08-16T00:00:00+00:00,2017-08-09T14:34:25.371218+00:00,0.2753623188405797,,,,,,585d3eef3d9db9fcf6e6344bebbf02d92f5d3a84,1965-08-16,upogebiidae,,"[""geopoint_datum_error"", ""geopoint_low_precision"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_originalnameusageid_added"", ""gbif_canonicalname_added""]",,upogebia,,"{""lat"": 60.75, ""lon"": -146.18}",,false,false,animalia; arthropoda; malacostraca; decapoda; upogebiidae;,,1.0,,uam,urn:lsid:biocol.org:col:34847,,animalia,,,,,,,olsen bay,,,,,,,,,http://arctos.database.museum/guid/uam:inv:9933?seid=2363498,decapoda,arthropoda,"[""3617a6a3-d384-48de-948d-2d1e1c54e090\\http://arctos.database.museum/guid/uam:inv:9933?seid=2363498"", ""3617a6a3-d384-48de-948d-2d1e1c54e090\\urn:occurrence:arctos:uam:inv:9933:2363498""]",,3617a6a3-d384-48de-948d-2d1e1c54e090,upogebia pugettensis,pugettensis,228,alaska,2223004,accepted,species,,d7103559-10de-4004-810b-185c76b5793b,19650816,olsen bay,,
b41d3835-910d-447e-b4da-746b45bb8ad9,,,preservedspecimen,,upogebia pugettensis,9930,malacostraca,invertebrate specimens,,,collector(s): joel hubbard,,,north america,,united states,usa,,1965-08-15T00:00:00+00:00,2017-08-09T14:34:25.371218+00:00,0.2753623188405797,,,,,,3e45c29dbde1be6161131b6e8bdf07d762fd45e5,1965-08-15,upogebiidae,,"[""geopoint_datum_error"", ""geopoint_low_precision"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_originalnameusageid_added"", ""gbif_canonicalname_added""]",,upogebia,,"{""lat"": 60.75, ""lon"": -146.18}",,false,false,animalia; arthropoda; malacostraca; decapoda; upogebiidae;,,1.0,,uam,urn:lsid:biocol.org:col:34847,,animalia,,,,,,,olsen bay,,,,,,,,,http://arctos.database.museum/guid/uam:inv:9930?seid=2363495,decapoda,arthropoda,"[""3617a6a3-d384-48de-948d-2d1e1c54e090\\http://arctos.database.museum/guid/uam:inv:9930?seid=2363495"", ""3617a6a3-d384-48de-948d-2d1e1c54e090\\urn:occurrence:arctos:uam:inv:9930:2363495""]",,3617a6a3-d384-48de-948d-2d1e1c54e090,upogebia pugettensis,pugettensis,227,alaska,2223004,accepted,species,,b41d3835-910d-447e-b4da-746b45bb8ad9,19650815,olsen bay,,
19a3bdc7-165d-41de-b37d-2ff7cca56f40,,,preservedspecimen,,,cmnc 2004-4307,,cmnc,http://grbio.org/cool/sjd8-70zp,,"bousfield, edward l.; mcallister, donald e.",,,north america,,united states,usa,sitka borough,,2018-03-02T09:09:12.823549+00:00,0.30434782608695654,,,,,,ae298025d25cd62c8b36ff92565ade34148edbc7,1961-06-10; time: 06:00-08:30,,,"[""dwc_continent_added"", ""idigbio_isocountrycode_added""]",,,,"{""lat"": 57.40132544769284, ""lon"": -135.0231559164657}",,false,false,animalia; arthropoda; crustacea; malacostraca; eumalacostraca; eucarida; decapoda; pleocyemata; gebiidea; upogebiidae; upogebia,,3.0,,cmn,http://biocol.org/urn:lsid:biocol.org:col:34935,,,,,,,,,"peril strait, s of dead tree i.",,,,,,,,,581b9945-cf04-f044-5f97-55bdc76c7739,,,"[""ba4b4a05-f01f-4b16-b36a-83bf997a8722\\581b9945-cf04-f044-5f97-55bdc76c7739""]",a027,ba4b4a05-f01f-4b16-b36a-83bf997a8722,upogebia pugettensis,,,alaska,,,species,,19a3bdc7-165d-41de-b37d-2ff7cca56f40,1961-06-10; time: 06:00-08:30,,,
975a944f-2b55-46d9-be4d-bf2e413124dd,,,preservedspecimen,,upogebia,cmnc 2004-4297,malacostraca,cmnc,http://grbio.org/cool/sjd8-70zp,,"bousfield, edward l.; quayle, daniel b.",,,north america,,canada,can,rupert land distr.,,2018-03-02T09:09:12.823549+00:00,0.18840579710144928,,,,,,d63ef1e0a6cdc2bc90655ba935253f407cc6d6f1,1959-07-19; time: 06:00-08:30,upogebiidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_family_added"", ""dwc_class_added"", ""dwc_genus_added"", ""dwc_kingdom_added""]",,upogebia,,"{""lat"": 50.503056, ""lon"": -128.083611}",,false,false,,,1.0,,cmn,http://biocol.org/urn:lsid:biocol.org:col:34935,,animalia,,,,,,,browning inlet,,,,,,,,,ea7500cd-838a-38a4-d2a9-946ea33b88db,decapoda,arthropoda,"[""ba4b4a05-f01f-4b16-b36a-83bf997a8722\\ea7500cd-838a-38a4-d2a9-946ea33b88db""]",o4,ba4b4a05-f01f-4b16-b36a-83bf997a8722,upogebia sp.,,,british columbia,2222977,accepted,genus,,975a944f-2b55-46d9-be4d-bf2e413124dd,1959-07-19; time: 06:00-08:30,,,
1e9482dc-ca4e-47b2-9acb-c9eb608fecf4,,,preservedspecimen,,upogebia,cmnc 2004-4296,malacostraca,cmnc,http://grbio.org/cool/sjd8-70zp,,"bousfield, edward l.",,,north america,,canada,can,queen charlotte islands land distr.,,2018-03-02T09:09:12.823549+00:00,0.18840579710144928,,,,,,37787638c6cf4dff9d080517e9ceca4ae05b549b,1957-08-26; time: 08:30-11:15,upogebiidae,,"[""geopoint_datum_missing"", ""rev_geocode_eez"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_family_added"", ""dwc_class_added"", ""dwc_genus_added"", ""dwc_kingdom_added""]",,upogebia,,"{""lat"": 54.014722, ""lon"": -132.135556}",,false,false,,,1.0,,cmn,http://biocol.org/urn:lsid:biocol.org:col:34935,,animalia,,,,,,,"masset sound, delkatla slough, tidal flats above highway bridge",,,,,,,,masset,b2433535-ea86-a864-41ad-ed4427b136f1,decapoda,arthropoda,"[""ba4b4a05-f01f-4b16-b36a-83bf997a8722\\b2433535-ea86-a864-41ad-ed4427b136f1""]",h08a,ba4b4a05-f01f-4b16-b36a-83bf997a8722,upogebia sp.,,,british columbia,2222977,accepted,genus,,1e9482dc-ca4e-47b2-9acb-c9eb608fecf4,1957-08-26; time: 08:30-11:15,,,
e1edbb7d-c15c-4df6-9e87-c7c2ad2f1219,,,preservedspecimen,,,cmnc 2004-4310,,cmnc,http://grbio.org/cool/sjd8-70zp,,"bousfield, edward l.; mcallister, donald e.",,,north america,,united states,usa,valdez-cordova census area,,2018-03-02T09:09:12.823549+00:00,0.2898550724637681,,,,,,12df860d0603e58fb8e316d3f2c1235e5b8be143,1961-07-04; time: 09:30-10:00,,,"[""rev_geocode_eez"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",,,,"{""lat"": 61.08030462514365, ""lon"": -146.67620545510715}",,false,false,animalia; arthropoda; crustacea; malacostraca; eumalacostraca; eucarida; decapoda; pleocyemata; gebiidea; upogebiidae; upogebia,,12.0,,cmn,http://biocol.org/urn:lsid:biocol.org:col:34935,,,,,,,,,"valdez narrows, steep beach on w side",,,,,,,,,8d8a282c-ba27-a274-9c81-2690b71e1e96,,,"[""ba4b4a05-f01f-4b16-b36a-83bf997a8722\\8d8a282c-ba27-a274-9c81-2690b71e1e96""]",a097,ba4b4a05-f01f-4b16-b36a-83bf997a8722,upogebia pugettensis,,,alaska,,,species,,e1edbb7d-c15c-4df6-9e87-c7c2ad2f1219,1961-07-04; time: 09:30-10:00,,,
cf5e8f92-3a07-4be4-aaa3-0dc8bec8e3a1,,,preservedspecimen,,,cmnc 2009-0006,,cmnc,http://grbio.org/cool/sjd8-70zp,,"bousfield, edward l.",,,north america,,canada,can,range 2 coast land distr.,,2018-03-02T09:09:12.823549+00:00,0.2753623188405797,,,,,,95c45f4e3b987b8dd490d69e5fdd2bfbd6e1f42a,1964-08-08; evening,,,"[""geopoint_datum_missing"", ""dwc_continent_added"", ""idigbio_isocountrycode_added""]",,,,"{""lat"": 51.792778, ""lon"": -128.080278}",,true,true,animalia; arthropoda; crustacea; malacostraca; eumalacostraca; eucarida; decapoda; pleocyemata; gebiidea; upogebiidae; upogebia,,20.0,,cmn,http://biocol.org/urn:lsid:biocol.org:col:34935,,,,,,,,,"cove on se end, nalau passage",,,,"[""6d4a25c4-8042-4ede-96de-5f36e47785ee"", ""5a1b7c76-0153-400c-ba38-3348411e807c""]",,,,,1a7bf4d7-01f4-1f44-7080-414bce49f007,,,"[""ba4b4a05-f01f-4b16-b36a-83bf997a8722\\1a7bf4d7-01f4-1f44-7080-414bce49f007""]",,ba4b4a05-f01f-4b16-b36a-83bf997a8722,upogebia pugettensis,,,british columbia,,,species,,cf5e8f92-3a07-4be4-aaa3-0dc8bec8e3a1,1964-08-08; evening,,,
5767fe8e-bbba-4691-b38b-df42f88e9b0c,,,preservedspecimen,,upogebia,cmnc 2004-4301,malacostraca,cmnc,http://grbio.org/cool/sjd8-70zp,,"marhue, lennox m.",,,north america,,canada,can,range 2 coast land distr.,,2018-03-02T09:09:12.823549+00:00,0.18840579710144928,,,,,,ab7fccfdf71830dc74ea7860e7ab0478db79f833,1966-06-22; time: 09:00-10:00,upogebiidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_family_added"", ""dwc_class_added"", ""dwc_genus_added"", ""dwc_kingdom_added""]",,upogebia,,"{""lat"": 51.275, ""lon"": -127.608333}",,false,false,,,30.0,,cmn,http://biocol.org/urn:lsid:biocol.org:col:34935,,animalia,,,,,,,takush harbour beach,,,,,,,,,2185a4b4-f7c3-7c34-1792-9894d261dcb6,decapoda,arthropoda,"[""ba4b4a05-f01f-4b16-b36a-83bf997a8722\\2185a4b4-f7c3-7c34-1792-9894d261dcb6""]",lm 5,ba4b4a05-f01f-4b16-b36a-83bf997a8722,upogebia sp.,,,british columbia,2222977,accepted,genus,,5767fe8e-bbba-4691-b38b-df42f88e9b0c,1966-06-22; time: 09:00-10:00,,,
